"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4550"," Login with valid credentials","Evershop Login Flow","Mon Nov 03 16:05:26 BDT 2025","passed","Mon Nov 03 16:05:31 BDT 2025","","","",""
"","8400","Login with valid credentials","Evershop Login Flow","Mon Nov 03 17:21:49 BDT 2025","passed","Mon Nov 03 17:21:57 BDT 2025","","","",""
"","19309","should go to product, select size & random color, and add to cart","Add a Product","Mon Nov 03 00:13:52 BDT 2025","passed","Mon Nov 03 00:14:11 BDT 2025","","","",""
"","7909","Login with wrong password","Evershop Login Flow","Mon Nov 03 17:22:06 BDT 2025","passed","Mon Nov 03 17:22:14 BDT 2025","","","",""
"",""," Login with invalid email","Evershop Login Flow","Mon Nov 03 16:05:31 BDT 2025","unknown","","","","",""
"","2365","successfully searches a valid product","Evershop automation test suite","Mon Nov 03 17:22:39 BDT 2025","passed","Mon Nov 03 17:22:41 BDT 2025","","","",""
"","10837","Login with empty fields","Evershop Login Flow","Mon Nov 03 17:22:14 BDT 2025","passed","Mon Nov 03 17:22:24 BDT 2025","","","",""
"","3294","Fill the checkout form and Continue to Payment","Checkout Process","Mon Nov 03 17:23:45 BDT 2025","passed","Mon Nov 03 17:23:49 BDT 2025","","","",""
"","2978","Fill the checkout form","Checkout Process","Mon Nov 03 02:04:48 BDT 2025","passed","Mon Nov 03 02:04:51 BDT 2025","","","",""
"","14772","go to cart , Click Checkout, fill email , Contiue to Shipping","Checkout Process","Mon Nov 03 17:23:31 BDT 2025","passed","Mon Nov 03 17:23:45 BDT 2025","","","",""
"","3631"," Login with empty fields","Evershop Login Flow","Mon Nov 03 16:00:24 BDT 2025","passed","Mon Nov 03 16:00:28 BDT 2025","","","",""
"","11557","Add product","Checkout Process","Mon Nov 03 17:23:19 BDT 2025","passed","Mon Nov 03 17:23:31 BDT 2025","","","",""
"","16030","Add 2nd product","Add a Product","Mon Nov 03 17:22:58 BDT 2025","passed","Mon Nov 03 17:23:14 BDT 2025","","","",""
"","6123"," Login with wrong password","Evershop Login Flow","Mon Nov 03 16:00:18 BDT 2025","passed","Mon Nov 03 16:00:24 BDT 2025","","","",""
"","7119","Select payment method and Place Order","Checkout Process","Mon Nov 03 17:23:49 BDT 2025","passed","Mon Nov 03 17:23:56 BDT 2025","","","",""
"","20066","go to cart & click  Checkout","Checkout Process","Mon Nov 03 01:21:33 BDT 2025","passed","Mon Nov 03 01:21:53 BDT 2025","","","",""
"","12490","Provide details info for checkout","Checkout Process","Mon Nov 03 01:49:55 BDT 2025","broken","Mon Nov 03 01:50:08 BDT 2025","","","",""
"","8306","Login with invalid email","Evershop Login Flow","Mon Nov 03 17:21:57 BDT 2025","passed","Mon Nov 03 17:22:06 BDT 2025","","","",""
"","18484","go to cart , provide Shipping details and Payment then Confirm Order","Checkout Process","Mon Nov 03 01:38:22 BDT 2025","passed","Mon Nov 03 01:38:40 BDT 2025","","","",""
"","8001","Login with invalid email format","Evershop Login Flow","Mon Nov 03 17:22:24 BDT 2025","passed","Mon Nov 03 17:22:32 BDT 2025","","","",""
"","2916"," Login with invalid email format","Evershop Login Flow","Mon Nov 03 16:00:28 BDT 2025","passed","Mon Nov 03 16:00:31 BDT 2025","","","",""
"","11466","Add 1st product","Add a Product","Mon Nov 03 17:22:46 BDT 2025","passed","Mon Nov 03 17:22:58 BDT 2025","","","",""
